                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                0.57298,                0.95927,                 1.0157,                0.79391,                0.72476,                0.80604,                 0.7316,                0.44972,                0.84279,                0.92571,               0.003565,               0.003565,               0.003565
                     68,                0.56827,                0.94669,                 1.0148,                0.82414,                 0.7214,                   0.81,                0.73681,                0.44591,                0.83783,                0.92519,               0.003466,               0.003466,               0.003466
                     69,                0.56439,                0.91632,                 1.0112,                0.82672,                0.72019,                0.81095,                0.73682,                0.44417,                0.83225,                0.92277,               0.003367,               0.003367,               0.003367
                     70,                0.55567,                0.90586,                 1.0082,                0.84643,                0.71194,                0.81027,                 0.7361,                0.44516,                0.83189,                0.92175,               0.003268,               0.003268,               0.003268
                     71,                0.56373,                0.90207,                 1.0086,                0.81104,                0.74271,                0.81144,                0.73905,                0.43993,                0.82636,                0.91985,               0.003169,               0.003169,               0.003169
                     72,                0.55469,                0.88925,                  1.005,                0.83268,                0.72893,                0.81632,                0.74235,                0.44179,                0.81982,                 0.9223,                0.00307,                0.00307,                0.00307
                     73,                0.54898,                0.87862,                  1.003,                0.83814,                0.72222,                0.81841,                0.74506,                0.44051,                0.81248,                0.92137,               0.002971,               0.002971,               0.002971
                     74,                0.54356,                0.86338,                 1.0014,                 0.8266,                0.73715,                0.81872,                0.74813,                0.43556,                 0.8081,                0.91802,               0.002872,               0.002872,               0.002872
                     75,                0.54353,                0.86137,                0.99962,                0.85035,                0.72488,                0.82156,                0.74835,                0.43836,                0.80525,                0.91968,               0.002773,               0.002773,               0.002773
                     76,                 0.5385,                0.84193,                0.99728,                0.85233,                 0.7296,                0.82246,                0.75001,                 0.4356,                0.79764,                0.91764,               0.002674,               0.002674,               0.002674
                     77,                0.53191,                0.82958,                0.99488,                0.85515,                0.73067,                0.82343,                0.75327,                0.43348,                0.79609,                 0.9166,               0.002575,               0.002575,               0.002575
                     78,                0.53379,                0.82267,                0.99554,                0.85493,                0.72966,                0.82596,                0.75504,                0.43213,                0.79183,                0.91755,               0.002476,               0.002476,               0.002476
                     79,                0.52789,                0.81111,                0.99196,                0.85231,                0.72917,                0.82617,                 0.7556,                0.43108,                0.78829,                0.91733,               0.002377,               0.002377,               0.002377
                     80,                 0.5265,                0.80315,                 0.9922,                0.85271,                0.73127,                0.82579,                0.75565,                0.43033,                0.79026,                0.91668,               0.002278,               0.002278,               0.002278
                     81,                0.52117,                0.77725,                0.98932,                0.84599,                0.73805,                0.82526,                0.75735,                0.43181,                0.79101,                0.91731,               0.002179,               0.002179,               0.002179
                     82,                0.52617,                0.78172,                0.99066,                0.84066,                0.74676,                0.82822,                0.75845,                0.43007,                0.78831,                0.91577,                0.00208,                0.00208,                0.00208
