                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                0.69102,                 1.2897,                 1.0464,                0.60878,                0.60747,                0.58673,                0.53039,                0.48335,                 1.3987,                0.93617,              0.0074755,              0.0074755,              0.0074755
                     54,                0.68475,                 1.2737,                 1.0417,                0.56634,                 0.6493,                0.58528,                0.52902,                0.47868,                 1.3828,                0.93432,               0.007426,               0.007426,               0.007426
                     55,                0.68637,                 1.2562,                 1.0429,                0.60548,                0.61824,                  0.593,                0.53796,                0.47774,                 1.3738,                0.93135,              0.0073765,              0.0073765,              0.0073765
                     56,                0.69452,                 1.2547,                 1.0494,                0.64252,                0.59727,                0.60339,                0.54818,                0.47498,                 1.3643,                0.93117,               0.007327,               0.007327,               0.007327
                     57,                0.67976,                 1.2276,                 1.0371,                0.60382,                0.63143,                0.60174,                0.54433,                0.47562,                 1.3562,                0.93543,              0.0072775,              0.0072775,              0.0072775
                     58,                0.67454,                 1.2195,                 1.0394,                 0.6089,                0.62657,                0.60404,                0.54853,                0.47944,                 1.3461,                0.93504,               0.007228,               0.007228,               0.007228
                     59,                0.67784,                 1.2092,                 1.0392,                0.63534,                0.60977,                 0.6007,                0.54694,                0.47074,                 1.3559,                0.92734,              0.0071785,              0.0071785,              0.0071785
                     60,                 0.6714,                 1.1839,                 1.0349,                0.62176,                0.62864,                0.60301,                0.55083,                0.46862,                 1.3458,                0.92296,               0.007129,               0.007129,               0.007129
                     61,                0.65563,                 1.1234,                 1.0262,                0.60333,                 0.6576,                0.60621,                0.55312,                0.46373,                 1.3412,                0.92065,              0.0070795,              0.0070795,              0.0070795
                     62,                0.65982,                 1.1601,                 1.0321,                0.61455,                0.65007,                0.61075,                0.55694,                0.46569,                 1.3406,                0.92237,                0.00703,                0.00703,                0.00703
                     63,                0.66629,                 1.1539,                 1.0334,                0.61076,                0.64961,                0.60732,                0.55402,                0.46572,                 1.3478,                0.92331,              0.0069805,              0.0069805,              0.0069805
                     64,                0.66506,                 1.1552,                 1.0336,                0.61847,                0.64026,                0.60725,                 0.5527,                0.46773,                 1.3395,                0.92788,               0.006931,               0.006931,               0.006931
                     65,                 0.6608,                 1.1456,                 1.0274,                 0.6132,                0.66153,                0.61183,                0.55572,                0.46851,                 1.3434,                0.93087,              0.0068815,              0.0068815,              0.0068815
                     66,                0.65361,                 1.1282,                 1.0282,                0.63095,                0.64057,                0.61198,                0.55657,                0.46467,                 1.3387,                0.92661,               0.006832,               0.006832,               0.006832
                     67,                0.65713,                 1.1214,                 1.0282,                0.62653,                0.65212,                0.61749,                0.56293,                0.45821,                 1.3211,                0.92419,              0.0067825,              0.0067825,              0.0067825
                     68,                0.64846,                 1.0962,                 1.0248,                0.63534,                0.64951,                 0.6191,                0.56508,                0.45768,                 1.3049,                0.92398,               0.006733,               0.006733,               0.006733
                     69,                  0.651,                 1.0957,                 1.0247,                 0.6312,                  0.662,                0.62058,                0.56761,                0.45349,                 1.3088,                0.92259,              0.0066835,              0.0066835,              0.0066835
                     70,                0.65219,                 1.1017,                 1.0252,                0.62362,                0.66195,                 0.6185,                 0.5652,                0.45131,                 1.3119,                0.91978,               0.006634,               0.006634,               0.006634
                     71,                0.64542,                 1.0845,                 1.0223,                0.63044,                0.65538,                0.62112,                0.56704,                 0.4527,                 1.3153,                0.92012,              0.0065845,              0.0065845,              0.0065845
                     72,                0.64356,                 1.0601,                 1.0179,                0.63472,                0.65652,                0.62648,                0.57194,                0.45199,                 1.3124,                0.92091,               0.006535,               0.006535,               0.006535
                     73,                0.63667,                 1.0518,                 1.0147,                0.61522,                0.68092,                0.62679,                0.57364,                0.44683,                 1.3052,                0.91697,              0.0064855,              0.0064855,              0.0064855
                     74,                0.64409,                 1.0652,                 1.0209,                  0.608,                0.69303,                0.62838,                0.57606,                0.44611,                 1.3009,                0.91584,               0.006436,               0.006436,               0.006436
                     75,                0.64363,                  1.047,                 1.0201,                0.61107,                0.69549,                0.62735,                0.57639,                0.44499,                 1.2998,                0.91596,              0.0063865,              0.0063865,              0.0063865
                     76,                0.63534,                 1.0375,                 1.0141,                0.63264,                0.66329,                0.62795,                0.57644,                0.44448,                 1.2961,                0.91499,               0.006337,               0.006337,               0.006337
                     77,                0.62898,                 1.0215,                 1.0127,                0.61638,                0.68785,                0.62884,                0.57588,                0.44549,                  1.292,                 0.9153,              0.0062875,              0.0062875,              0.0062875
                     78,                0.63099,                 1.0155,                 1.0148,                0.62734,                0.68198,                0.62748,                0.57397,                0.44426,                 1.2932,                0.91492,               0.006238,               0.006238,               0.006238
                     79,                0.62488,                 1.0017,                 1.0099,                0.64366,                0.66278,                0.63004,                 0.5759,                 0.4438,                 1.2905,                0.91472,              0.0061885,              0.0061885,              0.0061885
                     80,                0.62951,                0.99411,                 1.0096,                0.63325,                0.67812,                0.62633,                 0.5736,                0.44253,                 1.2868,                0.91459,               0.006139,               0.006139,               0.006139
                     81,                0.62257,                0.98751,                 1.0113,                 0.6129,                0.69729,                0.62762,                0.57448,                0.44131,                 1.2852,                0.91349,              0.0060895,              0.0060895,              0.0060895
                     82,                0.62521,                0.98084,                 1.0113,                0.61476,                0.69771,                0.62993,                0.57501,                0.44214,                 1.2833,                0.91328,                0.00604,                0.00604,                0.00604
                     83,                0.61914,                0.97565,                 1.0073,                0.63361,                0.67708,                0.62688,                0.57352,                0.44148,                 1.2885,                0.91298,              0.0059905,              0.0059905,              0.0059905
                     84,                 0.6194,                0.95922,                 1.0074,                0.63214,                0.68066,                  0.627,                0.57487,                0.43923,                 1.2885,                0.91093,               0.005941,               0.005941,               0.005941
                     85,                 0.6192,                0.96468,                 1.0062,                0.61118,                0.71017,                  0.628,                0.57534,                0.43837,                 1.2863,                0.90983,              0.0058915,              0.0058915,              0.0058915
                     86,                0.61307,                0.94371,                 1.0032,                0.61498,                0.70761,                0.63025,                0.57794,                 0.4362,                 1.2846,                0.90836,               0.005842,               0.005842,               0.005842
                     87,                0.61262,                 0.9348,                 1.0033,                0.62197,                 0.7064,                0.63138,                 0.5789,                 0.4358,                 1.2815,                0.90794,              0.0057925,              0.0057925,              0.0057925
                     88,                0.60222,                 0.9299,                 1.0024,                 0.6263,                0.70064,                0.63322,                0.58031,                0.43472,                 1.2778,                0.90751,               0.005743,               0.005743,               0.005743
                     89,                0.60864,                0.92563,                 1.0054,                0.63719,                0.68502,                 0.6337,                0.58098,                0.43474,                 1.2781,                0.90817,              0.0056935,              0.0056935,              0.0056935
                     90,                0.60698,                0.90898,                 1.0022,                0.62452,                0.70012,                0.63365,                0.58132,                0.43459,                 1.2814,                0.90786,               0.005644,               0.005644,               0.005644
                     91,                0.61255,                0.92423,                 1.0048,                0.62679,                0.69671,                 0.6333,                0.58093,                0.43448,                 1.2836,                0.90821,              0.0055945,              0.0055945,              0.0055945
                     92,                0.60771,                0.90741,                 1.0036,                0.63715,                0.68259,                0.63349,                0.58205,                0.43483,                 1.2811,                0.90861,               0.005545,               0.005545,               0.005545
                     93,                0.60785,                0.90498,                 1.0018,                0.63739,                0.67814,                0.63465,                0.58251,                0.43336,                  1.281,                0.90798,              0.0054955,              0.0054955,              0.0054955
                     94,                0.59055,                0.88257,                0.99147,                0.61703,                0.71374,                 0.6354,                0.58395,                0.43248,                 1.2793,                 0.9072,               0.005446,               0.005446,               0.005446
                     95,                0.56484,                0.78839,                0.97836,                0.61828,                0.70889,                0.63592,                 0.5841,                 0.4325,                 1.2784,                0.90709,              0.0053965,              0.0053965,              0.0053965
                     96,                0.56953,                0.81859,                0.98438,                0.61578,                0.70993,                0.63602,                0.58436,                0.43288,                   1.28,                0.90654,               0.005347,               0.005347,               0.005347
                     97,                0.57876,                 0.8312,                0.98671,                0.62559,                0.70264,                0.63634,                0.58449,                0.43306,                 1.2836,                 0.9069,              0.0052975,              0.0052975,              0.0052975
                     98,                0.57935,                0.83784,                 0.9882,                0.62243,                0.70567,                0.63466,                0.58314,                0.43358,                 1.2848,                0.90778,               0.005248,               0.005248,               0.005248
                     99,                0.57665,                0.83489,                0.98404,                0.62081,                 0.7075,                0.63453,                0.58276,                0.43355,                 1.2855,                0.90799,              0.0051985,              0.0051985,              0.0051985
                    100,                0.57207,                0.82097,                 0.9837,                0.62021,                0.71228,                 0.6341,                0.58292,                0.43318,                 1.2873,                0.90795,               0.005149,               0.005149,               0.005149
                    101,                0.57682,                0.82694,                0.98613,                0.61988,                0.71266,                0.63343,                0.58278,                0.43229,                 1.2878,                0.90729,              0.0050995,              0.0050995,              0.0050995
                    102,                0.57032,                0.80332,                0.98365,                0.61981,                0.71803,                0.63445,                 0.5836,                0.43178,                 1.2875,                0.90699,                0.00505,                0.00505,                0.00505
                    103,                0.57329,                0.80538,                0.98194,                0.62002,                0.71607,                0.63451,                0.58339,                0.43149,                 1.2864,                0.90709,              0.0050005,              0.0050005,              0.0050005
                    104,                 0.5686,                0.81553,                0.98087,                0.61855,                0.72231,                0.63369,                0.58277,                0.43114,                 1.2851,                0.90712,               0.004951,               0.004951,               0.004951
                    105,                0.56554,                0.80401,                0.97991,                0.61786,                0.72318,                0.63324,                0.58119,                 0.4316,                 1.2836,                0.90746,              0.0049015,              0.0049015,              0.0049015
                    106,                0.56331,                0.78949,                0.97632,                0.61421,                0.72962,                0.63354,                0.58148,                0.43154,                 1.2823,                0.90727,               0.004852,               0.004852,               0.004852
                    107,                0.56561,                0.78869,                0.97881,                0.61049,                0.73904,                0.63326,                0.58083,                0.43163,                 1.2825,                 0.9074,              0.0048025,              0.0048025,              0.0048025
                    108,                0.56551,                0.79103,                0.97932,                0.61088,                0.74018,                0.63413,                0.58189,                0.43128,                 1.2809,                0.90744,               0.004753,               0.004753,               0.004753
                    109,                0.56444,                0.78377,                0.98023,                0.61021,                 0.7396,                0.63466,                0.58249,                0.43099,                 1.2802,                0.90744,              0.0047035,              0.0047035,              0.0047035
